date	Surinaams	Antilliaans	Turks	Marokkaans	overig niet-westers	totaal niet-westers 1)	westers	Nederlands 	totaal	
2013	67919	11993	41981	72330	84854	279077	125720	394645	799442	
2014	67490	12088	42211	73311	86967	282067	129025	400093	811185	
2015	66623	12125	42358	74210	90100	285416	134124	402732	822272	
2016	66190	12255	42638	75085	94638	290806	140431	403476	834713	
2017	65401	12262	43144	75691	100186	296684	146581	401687	844952	
