day,timeslot
12/1/2016,18.25
12/5/2016,13.43
12/5/2016,13.48
12/6/2016,10.18
12/6/2016,18.29
12/12/2016,9.46
12/13/2016,10.01
12/13/2016,15.33
12/13/2016,15.34
12/15/2016,10.58
12/15/2016,16.34
12/20/2016,10.24
12/20/2016,10.32
12/22/2016,9.59
1/2/2017,10.51
1/2/2017,18.34
1/3/2017,10.01
1/3/2017,17.25
1/3/2017,17.27
1/5/2017,11.27
1/5/2017,17.07
1/5/2017,17.12
1/5/2017,17.18
1/9/2017,16.18
1/10/2017,10.26
1/10/2017,17.46
1/12/2017,8.53
1/12/2017,8.55
01/16/2017,10.47
01/16/2017,18.04
01/19/2017,10.35
01/19/2017,10.39
2/6/2017,9.40
2/6/2017,9.44
2/7/2017,17.07
2/7/2017,17.09
2/7/2017,17.12
2/9/2017,9.44
2/9/2017,18.18
02/13/2017,13.13
02/13/2017,18.53
02/14/2017,10.10
02/14/2017,10.19
02/14/2017,13.45
02/14/2017,18.14
02/14/2017,18.18
02/20/2017,9.54
02/21/2017,10.22
3/7/2017,9.19
3/7/2017,17.59
3/7/2017,18.06
3/9/2017,9.39
3/9/2017,9.44
03/13/2017,9.55
03/13/2017,19.34
03/13/2017,19.37
03/14/2017,9.54
03/14/2017,9.58
03/14/2017,12.45
03/14/2017,17.48
03/16/2017,10.40
03/16/2017,10.45
03/16/2017,12.41
03/20/2017,10.27
03/20/2017,10.29
03/20/2017,18.50
03/21/2017,9.42
03/21/2017,18.34
03/23/2017,9.46
03/23/2017,18.48
03/27/2017,9.42
03/27/2017,9.44
03/30/2017,11.31
03/30/2017,12.33
03/30/2017,18.05
4/3/2017,9.56
4/3/2017,12.26
4/4/2017,10.26
4/6/2017,10.28
4/6/2017,17.48
4/11/2017,10.43
04/13/2017,15.29
04/18/2017,10.10
04/18/2017,10.15
04/20/2017,9.02
04/24/2017,11.23
04/24/2017,14.09
04/25/2017,9.25
04/25/2017,19.17
5/1/2017,9.45
5/1/2017,12.28
5/2/2017,9.27
5/2/2017,18.27
5/2/2017,18.29
5/4/2017,10.10
5/4/2017,10.14
5/8/2017,11.41
5/9/2017,10.16
5/9/2017,18.58
5/9/2017,19.01
5/9/2017,19.04
5/11/2017,9.53
5/11/2017,9.59
5/11/2017,13.14
5/11/2017,18.18
05/15/2017,12.56
05/15/2017,17.34
05/16/2017,11.52
05/16/2017,11.57
05/18/2017,10.15
05/18/2017,18.59
05/18/2017,19.07
05/22/2017,10.10
05/22/2017,10.14
05/23/2017,9.43
05/23/2017,18.18
05/29/2017,14.54
6/12/2017,9.46
06/13/2017,9.55
06/13/2017,18.56
06/13/2017,18.57
06/15/2017,10.02
06/15/2017,18.34
06/19/2017,11.17
06/19/2017,17.44
06/20/2017,10.09
06/22/2017,12.13
06/26/2017,10.40
06/26/2017,10.47
06/26/2017,18.04
06/27/2017,10.15
06/27/2017,19.36
06/29/2017,12.15
