Date,Name,Year,Letterboxd URI,Rating,Tags,Watched_Date
2017-01-04,Tremors,1990,https://letterboxd.com/twuyver/film/tremors/,4,"horror, comedy",2017-01-04
2017-01-08,Jurassic World,2015,https://letterboxd.com/twuyver/film/jurassic-world/,2,,2017-01-07
2017-01-10,He Never Died,2015,https://letterboxd.com/twuyver/film/he-never-died/,3,"horror, vampires",2017-01-09
2017-01-10,Back to the Future Part II,1989,https://letterboxd.com/twuyver/film/back-to-the-future-ii/,4.5,"Timetravel, comedy",2017-01-09
2017-01-12,Children of Men,2006,https://letterboxd.com/twuyver/film/children-of-men/,4.5,Post apocalyptic,2017-01-11
2017-01-12,Clash of the Titans,2010,https://letterboxd.com/twuyver/film/clash-of-the-titans-2010/,2,,2017-01-11
2017-01-13,Breakdown,1997,https://letterboxd.com/twuyver/film/breakdown/,3.5,Hillbilly,2017-01-12
2017-01-14,The Invitation,2015,https://letterboxd.com/twuyver/film/the-invitation-2015/,4,"horror, Thriller",2017-01-13
2017-01-15,Machete,2010,https://letterboxd.com/twuyver/film/machete/,4.5,,2017-01-14
2017-01-18,Ghostbusters,2016,https://letterboxd.com/twuyver/film/ghostbusters-2016/,3,comedy,2017-01-17
2017-01-20,Spaceballs,1987,https://letterboxd.com/twuyver/film/spaceballs/,4.5,"SciFi, comedy",2017-01-19
2017-01-22,Don't Breathe,2016,https://letterboxd.com/twuyver/film/dont-breathe-2016/,3.5,horror,2017-01-21
2017-01-22,Sausage Party,2016,https://letterboxd.com/twuyver/film/sausage-party/,4.5,"comedy, Animation",2017-01-21
2017-01-23,The Hunger Games: Catching Fire,2013,https://letterboxd.com/twuyver/film/the-hunger-games-catching-fire/,4,SciFi,2017-01-22
2017-01-26,The Autopsy of Jane Doe,2016,https://letterboxd.com/twuyver/film/the-autopsy-of-jane-doe/,3.5,horror,2017-01-25
2017-01-29,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://letterboxd.com/twuyver/film/dr-strangelove-or-how-i-learned-to-stop-worrying-and-love-the-bomb/,5,"War, comedy",2017-01-28
2017-01-29,Lockout,2012,https://letterboxd.com/twuyver/film/lockout-2012/,2.5,SciFi,2017-01-28
2017-01-30,The Hunger Games: Mockingjay - Part 1,2014,https://letterboxd.com/twuyver/film/the-hunger-games-mockingjay-part-1/,3.5,scifi,2017-01-29
2017-02-03,Pandemic,2016,https://letterboxd.com/twuyver/film/pandemic-2016/,1.5,"zombies, horror, first person",2017-02-02
2017-02-03,The Wave,2015,https://letterboxd.com/twuyver/film/the-wave-2015/,3.5,"Disaster, Norwegian",2017-02-02
2017-02-05,Gods of Egypt,2016,https://letterboxd.com/twuyver/film/gods-of-egypt/,4,SciFi,2017-02-04
2017-02-06,Captain America: Civil War,2016,https://letterboxd.com/twuyver/film/captain-america-civil-war/,4.5,"Superhero, scifi",2017-02-05
2017-02-14,The Wailing,2016,https://letterboxd.com/twuyver/film/the-wailing/,5,"Korean, horror",2017-02-09
2017-02-14,X-Men: Apocalypse,2016,https://letterboxd.com/twuyver/film/x-men-apocalypse/,3.5,Superhero,2017-02-12
2017-02-14,No Country for Old Men,2007,https://letterboxd.com/twuyver/film/no-country-for-old-men/,5,,2017-02-13
2017-02-16,The Mind's Eye,2015,https://letterboxd.com/twuyver/film/the-minds-eye-2015/,3,"horror, B - movie",2017-02-15
2017-02-18,The Theory of Everything,2014,https://letterboxd.com/twuyver/film/the-theory-of-everything-2014/,2,"drama, biography",2017-02-16
2017-02-18,Batman v Superman: Dawn of Justice,2016,https://letterboxd.com/twuyver/film/batman-v-superman-dawn-of-justice/,2,superhero,2017-02-17
2017-02-21,Gantz:O,2016,https://letterboxd.com/twuyver/film/gantz-o/,4,"Manga, Japanese",2017-02-20
2017-02-23,Saturn 3,1980,https://letterboxd.com/twuyver/film/saturn-3/,3.5,SciFi,2017-02-22
2017-02-25,Elle,2016,https://letterboxd.com/twuyver/film/elle/,4,"French, Thriller",2017-02-24
2017-02-27,Sharknado 4: The 4th Awakens,2016,https://letterboxd.com/twuyver/film/sharknado-4-the-4th-awakens/,1.5,comedy,2017-02-26
2017-03-01,Operações Especiais,2015,https://letterboxd.com/twuyver/film/operacoes-especiais/,3,Brasilian,2017-02-28
2017-03-02,David Brent: Life on the Road,2016,https://letterboxd.com/twuyver/film/david-brent-life-on-the-road/,3,comedy,2017-03-01
2017-03-03,Red Riding Hood,2011,https://letterboxd.com/twuyver/film/red-riding-hood-2011/,2.5,,2017-03-02
2017-03-04,Passengers,2016,https://letterboxd.com/twuyver/film/passengers-2016/,2.5,,2017-03-03
